"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"150 - wt-6 - ripe5","wt-6","ripe5","150","-1.4748773040922","20.9038489157349","10","26.9658","98.941834"
"150 - wt-6 - ripe5","wt-6","ripe5","150","-1.45489705024077","30.94132789553","20","27.0353","98.9437359"
"150 - wt-6 - ripe5","wt-6","ripe5","150","-1.26737022512292","39.1364543010249","30","26.8564","98.9350016"
"150 - wt-6 - ripe5","wt-6","ripe5","150","-0.948025383939881","46.8360459970046","40","26.8901","98.938024"
"150 - wt-6 - ripe5","wt-6","ripe5","150","-0.500593027669032","53.3463328662555","50","27.0464","98.93433"
"150 - wt-6 - ripe5","wt-6","ripe5","150","0.472868254472909","68.6241045814404","75","26.9966","98.9382347"
"150 - wt-6 - ripe5","wt-6","ripe5","150","1.33319956376765","83.942222405187","100","27.0171","98.929577"
"150 - wt-6 - ripe5","wt-6","ripe5","150","2.86765940882195","116.189785344202","150","26.9374","98.931226"
"150 - wt-6 - ripe5","wt-6","ripe5","150","4.29970130579374","144.841719741706","200","27.0379","98.9300654"
"150 - wt-6 - ripe5","wt-6","ripe5","150","6.3121042155689","224.857093669286","300","26.837","98.912388"
"150 - wt-6 - ripe5","wt-6","ripe5","150","7.40618487311145","316.424874606969","400","26.9914","98.908668"
"150 - wt-6 - ripe5","wt-6","ripe5","150","8.9710732064162","427.358368634307","500","26.8385","98.9714864"
"150 - wt-6 - ripe5","wt-6","ripe5","150","9.5343072567838","519.632536009762","600","27.0272","98.976348"
"150 - wt-6 - ripe5","wt-6","ripe5","150","10.3800705151686","711.541107136971","800","26.984","98.9720081"
"150 - wt-6 - ripe5","wt-6","ripe5","150","10.7671151379153","905.980353395271","1000","26.9972","98.9717752"
"150 - wt-6 - ripe5","wt-6","ripe5","150","10.9192880738193","1098.84596563777","1200","26.992","98.971055"
"150 - wt-6 - ripe5","wt-6","ripe5","150","11.0735682311773","1388.33563708577","1500","26.9883","98.974261"
