"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"400 - wt-10 - ripe5","wt-10","ripe5","400","-2.45489215878082","27.1752968700324","10","26.9738","99.071214"
"400 - wt-10 - ripe5","wt-10","ripe5","400","-2.02321809926121","34.3560330238642","20","27.0094","99.073622"
"400 - wt-10 - ripe5","wt-10","ripe5","400","-1.53422857133907","41.3775080238665","30","27.0096","99.069289"
"400 - wt-10 - ripe5","wt-10","ripe5","400","-0.959719804188978","47.0635635718995","40","26.9993","99.0691555"
"400 - wt-10 - ripe5","wt-10","ripe5","400","-0.352656462115937","51.9307729065778","50","26.9711","99.063189"
"400 - wt-10 - ripe5","wt-10","ripe5","400","0.855057623015754","65.0145441259499","75","26.9696","99.0619472"
"400 - wt-10 - ripe5","wt-10","ripe5","400","2.02982181673214","77.0842259225711","100","27.0076","99.0598392"
"400 - wt-10 - ripe5","wt-10","ripe5","400","4.14975154958418","97.5855775440661","150","27.015","99.056022"
"400 - wt-10 - ripe5","wt-10","ripe5","400","5.97616062542781","118.118727737367","200","27.0012","99.05307"
"400 - wt-10 - ripe5","wt-10","ripe5","400","9.36544467685906","162.575464120667","300","26.9416","99.048939"
"400 - wt-10 - ripe5","wt-10","ripe5","400","12.0886719282421","197.468341757505","400","27.0012","99.0506909"
"400 - wt-10 - ripe5","wt-10","ripe5","400","19.9809931907011","355.754133804355","500","27.0083","99.072669"
"400 - wt-10 - ripe5","wt-10","ripe5","400","22.2115929370108","442.036985622485","600","27.0031","99.0811593"
"400 - wt-10 - ripe5","wt-10","ripe5","400","23.2079598525815","631.148431910265","800","26.9473","99.093126"
"400 - wt-10 - ripe5","wt-10","ripe5","400","22.8899858370035","825.058387338285","1000","27.0229","99.0999699"
"400 - wt-10 - ripe5","wt-10","ripe5","400","22.19892009155","1012.23704617346","1200","27.0306","99.095653"
"400 - wt-10 - ripe5","wt-10","ripe5","400","21.1560589299208","1292.62972997423","1500","27.0164","99.100843"
