"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","-1.93418715899087","19.0863214385104","10","27.0273","99.013016"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","-1.74132980394062","28.032652850715","20","27.0264","99.010303"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","-1.42615817982838","36.2820434557285","30","27.0246","99.015871"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","-0.900066175133242","43.464362060834","40","26.9903","99.015102"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","-0.226324970120583","49.8197665119142","50","26.9875","99.016105"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","1.29442170491225","66.1815183686947","75","26.964","99.029792"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","2.97025257942987","81.5865800024558","100","26.8998","99.025624"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","5.82711108735988","113.741837478052","150","27.0268","99.016588"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","8.6205293102036","146.046550413732","200","27.0393","99.000915"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","14.0495837227582","212.25621808967","300","26.9759","99.0143593"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","18.6333782760362","282.540700486836","400","27.0011","99.013416"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","22.7209553426734","379.478573362946","500","27.0263","99.009446"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","24.7071594604969","467.715952066478","600","27.0122","99.00273"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","25.8533638127083","657.338351122181","800","26.9898","99.0006569"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","24.8997206024586","854.185665173783","1000","27.0091","99.00622"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","24.319449119883","1046.0873941635","1200","27.047","99.004003"
"600 - wt-9 - mcgrath1","wt-9","mcgrath1","600","23.3372568883595","1336.72336125529","1500","26.9662","99.0114589"
