"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"400 - wt-3 - ripe5","wt-3","ripe5","400","-2.60987716367266","27.572736567286","10","26.9949","98.800245"
"400 - wt-3 - ripe5","wt-3","ripe5","400","-2.40352741082965","36.5039127631844","20","26.982","98.814285"
"400 - wt-3 - ripe5","wt-3","ripe5","400","-1.94868381745736","43.9885717246011","30","27.0427","98.817666"
"400 - wt-3 - ripe5","wt-3","ripe5","400","-1.42489388690154","50.6633101024927","40","27.016","98.814612"
"400 - wt-3 - ripe5","wt-3","ripe5","400","-0.877042144542847","56.6056820958497","50","27.0023","98.81087"
"400 - wt-3 - ripe5","wt-3","ripe5","400","0.437339583441058","68.8782994767585","75","26.8966","98.8144462"
"400 - wt-3 - ripe5","wt-3","ripe5","400","1.50827810253807","79.9296474318334","100","27.0034","98.819608"
"400 - wt-3 - ripe5","wt-3","ripe5","400","3.40843806758561","98.6741547071209","150","27.025","98.8142133"
"400 - wt-3 - ripe5","wt-3","ripe5","400","4.90113691710122","115.522043178807","200","27.0228","98.807236"
"400 - wt-3 - ripe5","wt-3","ripe5","400","7.76531190578726","162.375730804496","300","26.8947","98.800713"
"400 - wt-3 - ripe5","wt-3","ripe5","400","10.076537595184","198.405054236547","400","26.9542","98.8125097"
"400 - wt-3 - ripe5","wt-3","ripe5","400","20.353025906236","361.552518228592","500","26.905","98.8014499"
"400 - wt-3 - ripe5","wt-3","ripe5","400","22.3787024619543","445.711412186371","600","27.0289","98.793624"
"400 - wt-3 - ripe5","wt-3","ripe5","400","24.6852671397731","629.376101602368","800","27.0146","98.7880636"
"400 - wt-3 - ripe5","wt-3","ripe5","400","24.9265384261584","823.963474795855","1000","27.0024","98.7917875"
"400 - wt-3 - ripe5","wt-3","ripe5","400","24.1863961925995","1027.8017323851","1200","26.8991","98.792912"
"400 - wt-3 - ripe5","wt-3","ripe5","400","23.6180435294011","1320.83996201348","1500","27.0359","98.790763"
