"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","-2.76365915305088","27.2339543183019","10","27.0007","99.6247504"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","-2.14178972844809","33.7511061771988","20","27.0155","99.61967"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","-1.46472066720344","39.4838962191234","30","26.9931","99.6102266"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","-0.917432008971112","45.8520996204461","40","26.9626","99.614444"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","-0.295599023534866","51.1810947507515","50","26.967","99.6034372"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","0.802464066634976","66.0933289532419","75","26.9745","99.6046849"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","1.85758552956149","79.2884524252343","100","27.0101","99.6120393"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","3.84800151178904","103.640302246117","150","26.9837","99.61607"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","5.47228799869805","126.502835798612","200","26.9704","99.6166563"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","8.74247005890526","173.944339489827","300","26.992","99.6111392"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","11.6112473779483","217.832320351644","400","27.0187","99.6126746"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","22.3238173598347","455.527708348664","600","26.9814","99.630685"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","24.4049894061017","640.219740579837","800","27.0096","99.6372768"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","25.3810561975151","830.358269400556","1000","27.0077","99.6375956"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","25.2052380380493","1025.26845381965","1200","27.0087","99.629902"
"450 - wt-5 - mcgrath2","wt-5","mcgrath2","450","24.7548453192751","1316.9823967232","1500","26.9636","99.640489"
