"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","-2.20590848540769","25.6718773533396","10","26.9046","98.794245"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","-2.03351092881684","34.492673573998","20","26.8888","98.796406"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","-1.56243318992924","41.0672438464222","30","26.9356","98.803646"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","-1.14371120038786","47.860293496392","40","27.0207","98.800203"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","-0.63940018161131","53.9096886262111","50","27.0021","98.7978564"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","0.492969259145317","68.9130077343012","75","26.998","98.799186"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","1.49034226161725","82.3174454361346","100","26.8854","98.7882746"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","3.62224391378528","114.03492562188","150","26.9855","98.8051"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","5.32437010904862","144.647407346772","200","27.0019","98.8094883"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","8.3781882765034","211.321174804106","300","26.9594","98.818519"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","10.1845948052572","293.289326489112","400","27.0908","98.8183196"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","13.0901193243241","400.648389758634","500","26.8672","98.7869452"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","14.2905525059667","491.338979845348","600","26.8346","98.7857767"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","15.6281122915605","676.40974740599","800","27.1062","98.7946097"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","16.2604256236242","869.419194767331","1000","27.0331","98.805333"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","16.7702785876946","1059.06721516355","1200","27.0613","98.792946"
"250 - wt-7 - mcgrath1","wt-7","mcgrath1","250","16.8124370059877","1351.06950155703","1500","26.8366","98.782717"
