"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","-2.31120498416203","27.1372315110224","10","27.0009","99.205416"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","-1.9764045927537","35.1721986003598","20","26.9949","99.2069685"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","-1.47391637281287","41.8709959157079","30","26.9736","99.210837"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","-0.912973530361824","48.1566805870352","40","26.9746","99.205742"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","-0.354957678687321","52.8743216411943","50","26.9954","99.1979193"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","0.596073135890112","65.538329646067","75","26.9942","99.1753819"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","1.44597448167725","74.5834763334392","100","27.0007","99.165871"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","2.73654228506283","91.7717231749044","150","26.9702","99.1610768"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","3.17696925407036","111.864394176379","200","26.9359","99.155515"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","4.47232293391346","128.559691091146","300","27.0308","99.145255"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","5.89333935483014","169.760783298784","400","26.9392","99.1397824"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","18.9746912998062","371.916331027618","500","26.9471","99.1709558"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","21.1224062868441","458.463395931671","600","26.9897","99.164726"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","23.1114325349598","640.375330464735","800","27.0095","99.1610495"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","23.4525203958829","824.402231876375","1000","27.0108","99.159764"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","23.3410283509032","984.513458617304","1200","27.0108","99.161851"
"400 - wt-2 - mcgrath1","wt-2","mcgrath1","400","23.4201246207222","1231.98352273052","1500","26.9869","99.162054"
