"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"500 - wt-3 - ripe5","wt-3","ripe5","500","-2.47710129321523","27.9176861927016","10","27.004","99.153956"
"500 - wt-3 - ripe5","wt-3","ripe5","500","-2.13120307508189","35.7591782957017","20","26.9901","99.1675113"
"500 - wt-3 - ripe5","wt-3","ripe5","500","-1.58437682434592","42.04462702123","30","26.9708","99.17573"
"500 - wt-3 - ripe5","wt-3","ripe5","500","-1.05882441314752","48.1303606436819","40","26.9934","99.165193"
"500 - wt-3 - ripe5","wt-3","ripe5","500","-0.437787517522257","52.8194566817096","50","27.0093","99.168899"
"500 - wt-3 - ripe5","wt-3","ripe5","500","0.84976044473871","64.6341323518117","75","26.9946","99.169513"
"500 - wt-3 - ripe5","wt-3","ripe5","500","2.06790445692935","74.3191705839521","100","26.9974","99.1811745"
"500 - wt-3 - ripe5","wt-3","ripe5","500","4.24831911860488","93.7405968390264","150","26.9477","99.18268"
"500 - wt-3 - ripe5","wt-3","ripe5","500","6.02163069844738","110.570272853891","200","26.9928","99.1979456"
"500 - wt-3 - ripe5","wt-3","ripe5","500","9.41978869812721","153.590063697751","300","27.0038","99.215311"
"500 - wt-3 - ripe5","wt-3","ripe5","500","12.4795718284019","184.088293106683","400","27.0175","99.2138528"
"500 - wt-3 - ripe5","wt-3","ripe5","500","23.0245704972063","333.802691014746","500","26.9798","99.1491876"
"500 - wt-3 - ripe5","wt-3","ripe5","500","25.6243531509885","418.266352144196","600","26.9889","99.1646338"
"500 - wt-3 - ripe5","wt-3","ripe5","500","27.9742856553192","600.479104132201","800","26.9876","99.174739"
"500 - wt-3 - ripe5","wt-3","ripe5","500","27.8591526069374","797.253724234107","1000","27.0058","99.193521"
"500 - wt-3 - ripe5","wt-3","ripe5","500","26.880674384358","995.942457504104","1200","27.0488","99.181724"
"500 - wt-3 - ripe5","wt-3","ripe5","500","26.3308316157703","1286.84836579369","1500","26.91","99.1851895"
