"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"300 - wt-9 - ripe5","wt-9","ripe5","300","-1.82113794775931","19.9616002117509","10","26.9892","99.0323813"
"300 - wt-9 - ripe5","wt-9","ripe5","300","-1.73600728290993","29.3961500952471","20","26.9723","99.029797"
"300 - wt-9 - ripe5","wt-9","ripe5","300","-1.44221896082924","37.6868790349459","30","26.9979","99.018763"
"300 - wt-9 - ripe5","wt-9","ripe5","300","-0.96568853505207","44.8148293143502","40","27.0259","99.003135"
"300 - wt-9 - ripe5","wt-9","ripe5","300","-0.362941087764285","50.9868936779602","50","27.0106","98.995901"
"300 - wt-9 - ripe5","wt-9","ripe5","300","1.1267989025156","65.8171018389357","75","26.996","98.999901"
"300 - wt-9 - ripe5","wt-9","ripe5","300","2.57334630971983","80.5770850376144","100","26.933","99.001718"
"300 - wt-9 - ripe5","wt-9","ripe5","300","5.15598067943479","110.752118470985","150","27.0089","98.997477"
"300 - wt-9 - ripe5","wt-9","ripe5","300","7.5500025752415","141.570375151662","200","26.9992","99.002707"
"300 - wt-9 - ripe5","wt-9","ripe5","300","11.4856525319742","210.682867449743","300","26.9795","99.00707"
"300 - wt-9 - ripe5","wt-9","ripe5","300","14.2886795449388","291.670157138992","400","27.0438","99.0055191"
"300 - wt-9 - ripe5","wt-9","ripe5","300","16.9246192320729","395.823350125036","500","26.9682","99.0359774"
"300 - wt-9 - ripe5","wt-9","ripe5","300","18.137361540796","487.398078386081","600","26.9891","99.040157"
"300 - wt-9 - ripe5","wt-9","ripe5","300","20.0947937114876","671.834880609557","800","27.0085","99.040539"
"300 - wt-9 - ripe5","wt-9","ripe5","300","20.7997613656742","862.693898266995","1000","27.0103","99.029872"
"300 - wt-9 - ripe5","wt-9","ripe5","300","20.6133972768145","1057.20218057655","1200","26.9912","99.037619"
"300 - wt-9 - ripe5","wt-9","ripe5","300","21.0063089750644","1343.28798179511","1500","26.9801","99.047085"
