"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","-2.26415290272835","24.4281044276822","10","26.9481","99.0056334"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","-1.9842678298409","32.9626393913595","20","27.0215","99.001045"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","-1.52040964932694","39.8201270559727","30","27.0239","99.0082119"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","-0.975040834654524","46.1119661979078","40","26.978","99.019386"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","-0.396224942827618","51.725322750676","50","26.9965","99.015361"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","0.920979544843821","65.9134424585768","75","27.0036","99.015481"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","2.36514761644154","78.4343315362285","100","26.9952","99.0138801"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","4.79307372979628","105.529162983971","150","26.989","99.021241"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","7.11248941334732","132.015108768873","200","26.985","99.023602"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","11.6444840907639","184.367813862792","300","27.0028","99.021177"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","15.6142774496358","243.714390066372","400","26.9833","99.025669"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","21.2825221330569","358.326749330285","500","27.0144","99.01314"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","23.9521128678793","442.54154146672","600","27.0004","99.022627"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","25.8766533496653","627.106772314669","800","26.9598","99.0356922"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","25.9452056663599","812.142755871657","1000","27.0106","99.041359"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","25.5846395093802","987.517304222568","1200","27.0099","99.0500324"
"500 - wt-10 - mcgrath1","wt-10","mcgrath1","500","24.9036922472238","1245.31093639166","1500","26.9949","99.0472619"
