"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","-2.4769950078868","25.431026223422","10","26.9658","99.6391962"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","-1.8958839834506","31.6252707073342","20","26.9667","99.6387062"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","-1.38968187539006","38.1597174493422","30","26.9873","99.6431346"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","-0.76891921597135","44.1036818513901","40","27.0173","99.642673"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","-0.296048615638049","50.7235907374248","50","27.0129","99.641536"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","1.02798562543403","65.8625792412221","75","26.9496","99.6357731"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","2.24115035800001","80.6727409668328","100","27.0061","99.6413128"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","4.62785223845134","108.942697493567","150","26.9918","99.648632"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","6.76863272487333","136.167280133236","200","26.9527","99.6546243"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","10.723290183591","185.595027960755","300","27.0028","99.6544683"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","14.2124542742968","242.656058942067","400","27.0004","99.6525461"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","23.0586099701518","440.982035708061","600","27.0067","99.6421146"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","25.4734681781796","624.080608743913","800","26.9955","99.6397384"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","25.7259116472264","819.24697889696","1000","26.9625","99.639313"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","25.4626366566704","1013.14753846659","1200","27.0107","99.6400307"
"600 - wt-8 - mcgrath2","wt-8","mcgrath2","600","25.3114415992401","1301.37010434452","1500","27.0129","99.635121"
