"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","-2.36397299240868","28.1160677514267","10","27.0111","99.599912"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","-2.01215445626257","35.312047100659","20","26.9663","99.595628"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","-1.43993803731417","40.9401140874711","30","26.9597","99.5905966"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","-1.06077735625512","47.8699891195673","40","26.9892","99.593906"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","-0.60833976938686","54.0551465807614","50","27.0329","99.600408"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","0.461618840803276","69.0005523671352","75","26.9778","99.588913"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","1.33685242871799","84.6806106780201","100","26.9759","99.596832"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","2.90680539575494","116.363341357721","150","26.997","99.607799"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","4.27962114498573","148.592362291517","200","26.9557","99.603305"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","6.68176499528293","219.622704399193","300","27.0014","99.6035513"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","8.32659284443941","296.333491401701","400","27.0261","99.610961"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","11.083715779154","503.327324706034","600","26.9972","99.5993599"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","12.2791686416969","688.778149473847","800","26.9748","99.604318"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","12.8738351181443","876.246885531614","1000","26.9887","99.6154276"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","13.1444927097189","1060.1244070064","1200","27.0115","99.616508"
"200 - wt-10 - mcgrath1","wt-10","mcgrath1","200","13.309962223158","1340.53310455811","1500","26.9961","99.6112533"
