"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"200 - wt-1 - ripe5","wt-1","ripe5","200","-1.79989135880994","23.0486512903494","10","27.0469","98.9871642"
"200 - wt-1 - ripe5","wt-1","ripe5","200","-1.76510310523777","33.1786918868994","20","26.9856","98.9765312"
"200 - wt-1 - ripe5","wt-1","ripe5","200","-1.41708465736502","40.9819144784989","30","27.0095","98.9689846"
"200 - wt-1 - ripe5","wt-1","ripe5","200","-0.933535316263894","46.9788143736768","40","26.8756","98.962981"
"200 - wt-1 - ripe5","wt-1","ripe5","200","-0.576162377620102","54.367181861933","50","27.0135","98.9720422"
"200 - wt-1 - ripe5","wt-1","ripe5","200","0.474822506141003","67.8857658763991","75","27.0567","98.974338"
"200 - wt-1 - ripe5","wt-1","ripe5","200","1.30329343002069","80.904239624972","100","27.048","98.9775574"
"200 - wt-1 - ripe5","wt-1","ripe5","200","2.84933751812432","107.297066291271","150","27.0091","98.984024"
"200 - wt-1 - ripe5","wt-1","ripe5","200","4.21167638126981","134.239641368571","200","26.9319","98.9813403"
"200 - wt-1 - ripe5","wt-1","ripe5","200","6.73862047774666","191.685408989144","300","27.007","98.990537"
"200 - wt-1 - ripe5","wt-1","ripe5","200","8.51499660013288","266.420101025202","400","26.9052","98.992321"
"200 - wt-1 - ripe5","wt-1","ripe5","200","12.2802196907532","411.045258492359","500","26.8218","98.993209"
"200 - wt-1 - ripe5","wt-1","ripe5","200","13.1154345555088","503.271185691427","600","27.058","98.990227"
"200 - wt-1 - ripe5","wt-1","ripe5","200","14.2275008346154","692.450459758907","800","26.9959","98.989471"
"200 - wt-1 - ripe5","wt-1","ripe5","200","15.0084005367316","883.044999825387","1000","27.0364","98.995943"
"200 - wt-1 - ripe5","wt-1","ripe5","200","15.2106789983281","1076.99939517392","1200","27.0174","98.997736"
"200 - wt-1 - ripe5","wt-1","ripe5","200","15.1278466001304","1368.4865804808","1500","26.9599","98.989193"
