"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","-2.50992205590512","29.606029012788","10","26.999","99.58636"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","-2.07523887025737","37.094804208709","20","27.0021","99.584436"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","-1.46311956699319","42.7838963854126","30","26.9925","99.585218"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","-0.931533832550805","48.2683532089634","40","26.9855","99.5903022"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","-0.491025585971483","54.1365261037019","50","26.9483","99.585816"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","0.369047389482562","68.6668206217884","75","27.0057","99.5860433"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","1.43668758574715","78.2910049923186","100","26.9857","99.5929151"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","2.94044916331391","102.451312416313","150","26.9937","99.594699"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","4.45623485655813","119.91662860427","200","26.9818","99.590631"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","6.96937108935002","168.849552004271","300","26.9732","99.590817"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","9.19861608677841","216.941621305767","400","26.995","99.589979"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","16.3393878783977","473.152936881038","600","26.9687","99.5931346"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","18.135972588385","654.278870437654","800","26.9913","99.593278"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","19.0679624001249","835.815963966028","1000","27.0193","99.5909843"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","19.4354162500235","1015.21022592558","1200","27.0251","99.590026"
"300 - wt-1 - mcgrath1","wt-1","mcgrath1","300","19.8591411649477","1285.9567015414","1500","26.9639","99.5828769"
