"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"250 - wt-5 - ripe5","wt-5","ripe5","250","-1.86305966967716","19.9388677565572","10","26.9937","99.002685"
"250 - wt-5 - ripe5","wt-5","ripe5","250","-1.82561347318968","29.745877653306","20","27.0383","99.0120881"
"250 - wt-5 - ripe5","wt-5","ripe5","250","-1.44947041120553","37.4115595694677","30","26.8675","99.0111944"
"250 - wt-5 - ripe5","wt-5","ripe5","250","-0.943194991260326","44.4977362295678","40","26.989","99.014732"
"250 - wt-5 - ripe5","wt-5","ripe5","250","-0.386571923755326","51.0410254564341","50","27.0114","99.0187262"
"250 - wt-5 - ripe5","wt-5","ripe5","250","1.05643980092921","66.4332116561711","75","27.0196","99.0240421"
"250 - wt-5 - ripe5","wt-5","ripe5","250","2.42285379722766","81.883648611668","100","27.0414","99.0294902"
"250 - wt-5 - ripe5","wt-5","ripe5","250","4.77239665383132","114.502155628095","150","26.9966","99.017392"
"250 - wt-5 - ripe5","wt-5","ripe5","250","6.98467256026844","147.214413069316","200","26.9758","99.011966"
"250 - wt-5 - ripe5","wt-5","ripe5","250","10.3691366537251","219.865525920462","300","26.8687","99.0138075"
"250 - wt-5 - ripe5","wt-5","ripe5","250","12.7974683657963","295.961695746732","400","27.0223","99.008819"
"250 - wt-5 - ripe5","wt-5","ripe5","250","14.7666748492234","408.384138926078","500","27.0068","99.00428"
"250 - wt-5 - ripe5","wt-5","ripe5","250","15.830416996336","501.728087359646","600","26.9854","98.988252"
"250 - wt-5 - ripe5","wt-5","ripe5","250","17.3335527656733","688.623350940247","800","26.919","99.002001"
"250 - wt-5 - ripe5","wt-5","ripe5","250","18.0896482180216","877.782779933011","1000","27.0029","98.9987797"
"250 - wt-5 - ripe5","wt-5","ripe5","250","18.3437631813895","1066.6665681772","1200","27.0269","99.0045762"
"250 - wt-5 - ripe5","wt-5","ripe5","250","18.3298400967699","1351.53991822381","1500","27.023","99.006635"
